numero_convocatoria,pagina_pdf,tipo,detalle
,1,pagina_fuera_de_ficha,Página con texto antes de la primera ficha detectada.
,2,pagina_fuera_de_ficha,Página con texto antes de la primera ficha detectada.
,3,pagina_fuera_de_ficha,Página con texto antes de la primera ficha detectada.
,4,pagina_fuera_de_ficha,Página con texto antes de la primera ficha detectada.
,5,pagina_fuera_de_ficha,Página con texto antes de la primera ficha detectada.
,6,pagina_fuera_de_ficha,Página con texto antes de la primera ficha detectada.
,7,pagina_fuera_de_ficha,Página con texto antes de la primera ficha detectada.
,8,pagina_fuera_de_ficha,Página con texto antes de la primera ficha detectada.
,9,pagina_fuera_de_ficha,Página con texto antes de la primera ficha detectada.
,10,pagina_fuera_de_ficha,Página con texto antes de la primera ficha detectada.
,11,pagina_fuera_de_ficha,Página con texto antes de la primera ficha detectada.
,12,pagina_fuera_de_ficha,Página con texto antes de la primera ficha detectada.
,13,pagina_fuera_de_ficha,Página con texto antes de la primera ficha detectada.
,14,pagina_fuera_de_ficha,Página con texto antes de la primera ficha detectada.
,15,pagina_fuera_de_ficha,Página con texto antes de la primera ficha detectada.
,16,pagina_fuera_de_ficha,Página con texto antes de la primera ficha detectada.
,17,pagina_fuera_de_ficha,Página con texto antes de la primera ficha detectada.
,18,pagina_fuera_de_ficha,Página con texto antes de la primera ficha detectada.
,19,pagina_fuera_de_ficha,Página con texto antes de la primera ficha detectada.
,20,pagina_fuera_de_ficha,Página con texto antes de la primera ficha detectada.
05-2026,33,validacion,"La ficha tiene 10 páginas detectadas, pero declara 5."
08-2026,48,validacion,"La ficha tiene 30 páginas detectadas, pero declara 5."
17-2026,99,validacion,"La ficha tiene 10 páginas detectadas, pero declara 5."
21-2026,119,validacion,"La ficha tiene 10 páginas detectadas, pero declara 5."
26-2026,144,validacion,No se detectaron funciones numeradas.
37-2026,219,validacion,"La ficha tiene 10 páginas detectadas, pero declara 5."
40-2026,234,validacion,"La ficha tiene 17 páginas detectadas, pero declara 5."
44-2026,257,validacion,"La ficha tiene 12 páginas detectadas, pero declara 6."
47-2026,274,validacion,"La ficha tiene 23 páginas detectadas, pero declara 5."
51-2026,297,validacion,"La ficha tiene 114 páginas detectadas, pero declara 5."
73-2026,411,validacion,"La ficha tiene 13 páginas detectadas, pero declara 7."
75-2026,424,validacion,"La ficha tiene 5 páginas detectadas, pero declara 7."
75-2026,428,validacion,La ficha no termina en Página N de N.
76-2026,429,validacion,"La ficha tiene 5 páginas detectadas, pero declara 7."
76-2026,433,validacion,La ficha no termina en Página N de N.
77-2026,434,validacion,"La ficha tiene 5 páginas detectadas, pero declara 6."
77-2026,438,validacion,La ficha no termina en Página N de N.
80-2026,450,validacion,"La ficha tiene 5 páginas detectadas, pero declara 6."
80-2026,454,validacion,La ficha no termina en Página N de N.
82-2026,460,validacion,"La ficha tiene 24 páginas detectadas, pero declara 6."
89-2026,496,validacion,"La ficha tiene 67 páginas detectadas, pero declara 8."
102-2026,576,validacion,"La ficha tiene 14 páginas detectadas, pero declara 6."
108-2026,617,validacion,"La ficha tiene 12 páginas detectadas, pero declara 5."
110-2026,629,validacion,"La ficha tiene 31 páginas detectadas, pero declara 5."
121-2026,685,validacion,"La ficha tiene 87 páginas detectadas, pero declara 5."
138-2026,772,validacion,"La ficha tiene 29 páginas detectadas, pero declara 5."
150-2026,849,validacion,"La ficha tiene 7 páginas detectadas, pero declara 5."
150-2026,855,validacion,La ficha no termina en Página N de N.
156-2026,883,validacion,"La ficha tiene 18 páginas detectadas, pero declara 5."
156-2026,900,validacion,La ficha no termina en Página N de N.
159-2026,901,validacion,"La ficha tiene 6 páginas detectadas, pero declara 5."
159-2026,906,validacion,La ficha no termina en Página N de N.
178-2026,999,validacion,"La ficha tiene 11 páginas detectadas, pero declara 6."
180-2026,1010,validacion,"La ficha tiene 11 páginas detectadas, pero declara 5."
180-2026,1020,validacion,La ficha no termina en Página N de N.
183-2026,1026,validacion,"La ficha tiene 10 páginas detectadas, pero declara 5."
186-2026,1041,validacion,"La ficha tiene 15 páginas detectadas, pero declara 5."
189-2026,1056,validacion,"La ficha tiene 10 páginas detectadas, pero declara 5."
192-2026,1071,validacion,"La ficha tiene 71 páginas detectadas, pero declara 5."
204-2026,1148,validacion,"La ficha tiene 96 páginas detectadas, pero declara 6."
221-2026,1244,validacion,"La ficha tiene 124 páginas detectadas, pero declara 7."
238-2026,1368,validacion,"La ficha tiene 11 páginas detectadas, pero declara 5."
243-2026,1407,validacion,"La ficha tiene 7 páginas detectadas, pero declara 6."
243-2026,1413,validacion,La ficha no termina en Página N de N.
244-2026,1414,validacion,"La ficha tiene 44 páginas detectadas, pero declara 4."
254-2026,1468,validacion,"La ficha tiene 10 páginas detectadas, pero declara 5."
256-2026,1478,validacion,"La ficha tiene 5 páginas detectadas, pero declara 6."
256-2026,1482,validacion,La ficha no termina en Página N de N.
261-2026,1505,validacion,"La ficha tiene 15 páginas detectadas, pero declara 7."
263-2026,1520,validacion,"La ficha tiene 5 páginas detectadas, pero declara 6."
263-2026,1524,validacion,La ficha no termina en Página N de N.
264-2026,1525,validacion,"La ficha tiene 10 páginas detectadas, pero declara 5."
